ls extensions/wikia -lh | awk '{ print $NF }',Component
AbPerformanceTesting,In House AB Testing Framework
AbTesting,In House AB Testing Framework
AbuseFilterBypass,
AchievementsII,"Achievements"
AdEngine,"Ad Engineering"
AdminDashboard,"Admin & Power user tools (Dashboard, Wiki Features, CSS, JS, Insights, etc.)"
AjaxFunctions.php,
AjaxPoll,Polls
AnalyticsEngine,"Google, Universal Analytics"
Answers,Answers
AntiSpamInput,API Spam Protection
ApiDocs,"Core MediaWiki"
AppPromoLanding,
ARecoveryEngine,
ArticleAsJson,"Core MediaWiki"
ArticleComments,Comments
ArticleMetaDescription,"Core MediaWiki"
ArticlesAsResources,"Core MediaWiki"
ArticleSummary,"Core MediaWiki"
AssetsManager,
AuthModal,
AutoFollow,
AutoMainpageFixer,
AutomaticWikiAdoption,
AutoPageCreate,CreateNewWiki
BannerNotifications,"Notifications (Old)"
BlogEditCategoryPrompter,Categories
Blogs,Blogs
BrokenRenameFix,Staff tools
Bucky,
CanonicalHref,
Captcha,
CategoryBlueLinks,Categories
CategoryExhibition,Categories
CategoryGalleries,Categories
CategoryPagination,Categories
CategorySelect,Categories
Chat2,Chat
CheckpointCharlie,
CityVisualization,
CloseMyAccount,"User Profile"
CodeLint,
CommentCSV,Comments
CommentsOnly,Comments
CommunityMessages,Community Page
CommunityPage,Community Page
Comteam,
ConfirmEmailPrompt,"Transactional Email"
ContentFeeds,"Core MediaWiki"
ContentReview,"Core MediaWiki"
ContentWarning,"Core MediaWiki"
ContributionAppreciation,
ContributionPrototype,
CookiePolicy,
CoppaTool,"Staff tools"
CorporateFooter,
CreateNewWiki,CreateNewWiki
CreatePage,
CuratedContent,
Custom404Page,Community Page
DataProvider,
DesignSystem,Design System
Development,Development platform and tools
Discussions,Discussions
DMCARequest,
DomainVerification,
EditAccount,
Editcount,
EditorPreference,"Visual Editor"
EditorSurvey,"Visual Editor"
EditorSyntaxHighlighting,"Visual Editor"
EditPageLayout,"Visual Editor"
EditPreview,"Visual Editor"
EditTagging,"Core MediaWiki"
Email,"Transactional Email"
EmailsStorage,"Transactional Email"
EmailTemplates,"Transactional Email"
EmbeddableDiscussions,Discussions
EmergencyBroadcastSystem,
Evergreens,
FacebookClient,
FastCat,
FilePage,Community Page
Flags,
FliteTag,
Follow,
Forum,Forum
FounderEmails,"Transactional Email"
FounderProgressBar,
GameGuides,
GlobalCSSJS,"Admin & Power user tools (Dashboard, Wiki Features, CSS, JS, Insights, etc.)"
GlobalFooter,
GlobalNavigation,Global Navigation
GlobalShortcuts,
GlobalWatchlist,
GoogleAnalyticsSampling,"Google, Universal Analytics"
GoogleDocs,"Google, Universal Analytics"
GoogleFormTag,"Google, Universal Analytics"
HAWelcome,
Helios,
HideTags,"Core MediaWiki"
HubRssFeed,"Hubs"
ImageLazyLoad,
ImagePlaceholder,
ImageReview,D.I.R.T
ImageReviewMercury,Mercury
ImageServing,
ImageSizeInfoFunctions,
ImageTweaks,
IndexingPipeline,Search (Legacy)
InfoboxBuilder,Portable Infoboxes
InsightsBlogpostRedirect,Blogs
InsightsV2,
InstantGlobals,
InterwikiDispatcher,
InWikiExternalForm,
InWikiGame,
JavascriptAPI,"Core MediaWiki"
JSMessages,"Admin & Power user tools (Dashboard, Wiki Features, CSS, JS, Insights, etc.)"
JsonFormat,"Admin & Power user tools (Dashboard, Wiki Features, CSS, JS, Insights, etc.)"
JSSnippets,"Admin & Power user tools (Dashboard, Wiki Features, CSS, JS, Insights, etc.)"
JSVariables,"Admin & Power user tools (Dashboard, Wiki Features, CSS, JS, Insights, etc.)"
LandingPagesAsContent,Community Page
LatestPhotos,
LICENSE,
Lightbox,Lightbox
LinkSuggest,"Core MediaWiki"
LinkToMobileApp,Mobile Apps
Listusers,"Staff tools"
LocalSitemapPage,Community Page
LookupContribs,"Staff tools"
LookupUser,"Staff tools"
LyricsApi,"Lyrics Wiki"
MagicLinks,
MainPageTag,"Core MediaWiki"
MediaGallery,"New Gallery"
MemcacheUserBlock,
MercuryApi,Mercury
MessageDocumentation,
MiniEditor,"Visual Editor"
MinimalMainPage,Community Page
MobileAppTranslations,Mobile Apps
MobileContent,Mobile Apps
MonetizationModule,
MostPopularCategories,Categories
MultiTasks,
MyHome,User Profile
NewWindowLinks,
NjordPrototype,
NLP,
NotAValidWikia,
Oasis,Oasis (skin)
OpenGraphMetaCustomizations,
Optimizely,Optimizely A/B Testing Framework
OversightCompanion,
PageClassification,
PageShare,Sharing
Paginator,
PaidAssetDrop,
ParserSpeed,"Core MediaWiki"
Parsoid,"Core MediaWiki"
PartnerFeed,
PerSkinParserCache,"Core MediaWiki"
PhalanxII,Phalanx
Piggyback,"Staff tools"
PiggyQuick,"Staff tools"
Places,
POI,
PolldaddyTag,Polls
PollSnackTag,Polls
PortabilityDashboard,Portable Infoboxes
PortableInfobox,Portable Infoboxes
PortableInfoboxBuilder,Portable Infoboxes
PowerTools,"Admin & Power user tools (Dashboard, Wiki Features, CSS, JS, Insights, etc.)"
PowerUser,"Admin & Power user tools (Dashboard, Wiki Features, CSS, JS, Insights, etc.)"
ProtectSiteJS,
Qualaroo,
QuickCreate,
QuickTools,Toolbar
Rail,
RandomWiki,
RecentChanges,
RecipesTemplate,
Recirculation,Recirculation
RelatedPages,
RenderContentOnly,
RestrictSessions,
RobotsTxt,
RTE,
SASS,
ScavengerHunt,
Scribe,
Search,Search (Legacy)
SearchDigest,Search (Legacy)
SearchNearMatch,Search (Legacy)
Security,Security
SemanticMediaWiki,Semantic MediaWiki
SeoCrossLink,SEO
SeoLinkHreflang,SEO
SeoTesting,SEO
SEOTweaks,SEO
SEOTweaksGlobal,SEO
ShareButtons,Sharing
SharedHelp,Shared help
ShowPerformanceStats,Staff tools
Sitemap,
SitemapPage,
SitemapXml,
SiteWideMessages,
SkinChooser,
SlowPagesBlacklist,
SoundCloudTag,"Core MediaWiki"
SpecialCacheEpoch,
SpecialCategoryIntersection,Categories
SpecialContact2,
SpecialCss,"Admin & Power user tools (Dashboard, Wiki Features, CSS, JS, Insights, etc.)"
SpecialDiscussions,Discussions
SpecialDiscussionsLog,Discussions
SpecialEditHub,"Hubs"
SpecialEmailTest,"Transactional Email"
SpecialHealthcheck,
SpecialInterwikiEdit,
SpecialManageWikiaHome,"Home-page"
SpecialMultipleLookup,
SpecialNewWikis,CreateNewWiki
SpecialPageViews,
SpecialPromote,Special:Promote
SpecialProtectSite,
SpecialStyleguide,
SpecialUnlockdb,
SpecialUnsubscribe,"Transactional Email"
SpecialUnusedVideos,"Video(legacy)"
SpecialUserData,
SpecialVersion,
SpecialVideos,"Video(legacy)"
SpecialWithoutimages,
SpitfiresContributionExperiments,
SponsorshipDashboard,
SpotifyTag,"Core MediaWiki"
Spotlights,
StaffLog,
StaffPowers,
StaffSig,
Staging,
SwiftSync,
TabView,
TagCloud,
TagsReport,Staff tools
TaskManager,
Tasks,
TemplateClassification,
TemplateDraft,
templates,
TextRegex,
ThemeDesigner,Theme Designer
Thumbnails,Thumbnailer
TimeAgoMessaging,
Timeline,
TOC,
TOCimprovements,
TopLists,
TouchStorm,
TraceViewer,
Track,
TwitterCards,
TwitterTag,
UploadInfo,
UserActivity,Activity Feeds
UserChangesHistory,User Profile
UserLogin,Login & Signup
UserManagementPanel,User Profile
UserPageRedirects,
UserPreferencesV2,User Profile
UserProfilePageV3,User Profile
UserRenameTool,"Staff tools"
UserTools,User Profile
VideoEmbedTool,"Video(legacy)"
VideoHandlers,"Video(legacy)"
VideoPageTool,"Video(legacy)"
VideosModule,"Video(legacy)"
VisitSource,
VisualEditorTourExperiment,"Visual Editor"
VKTag,
Wall,Message Wall
WallNotifications,Notifications (Old)
WAM,"WAM"
WAMPage,"WAM"
WatchSubPages,
WDACReview,
WeiboTag,
WhatIsMyIP,
WhereIsExtension,
WidgetFramework,
WidgetTag,
WikiaApi,"Core MediaWiki"
WikiaBar,
WikiaHomePage,"Home-page"
WikiaHubsServices,"Hubs"
WikiaHubsV3,"Hubs"
WikiaInternal,
WikiaInYourLang,
WikiaIrcGateway,
WikiaLogo,
WikiaMaps,Interactive Maps
WikiaMiniUpload,
WikiaMiscMessages,
WikiaMobile,
WikiaMobileEditor,"Visual Editor"
WikiaNewFiles,
WikiaNewtalk,
WikiaNotifier,
WikiAnswers,Answers
WikiaPhotoGallery,"New Gallery"
WikiaQuiz,
WikiaRecentChangesBlockHandler,
WikiaRSS,
WikiaSeasons,
WikiaSpamRegexBatch,API Spam Protection
WikiaStats,Staff tools
WikiaStyleGuide,
WikiaWantedQueryPage,
WikiaWhiteList,
WikiFactory,WikiFactory
WikiFactoryChangedHooks,WikiFactory
WikiFeatures,
XBoxGamerCardTag,
YouTube,
